电影名,导演,主演,年份,电影类型,评分,评语,电影海报
断背山,李安 Ang Lee   ,希斯·莱杰 Heath Ledger / 杰克·吉伦哈尔 Jake...,2005,剧情 爱情 同性 家庭,8.8,每个人心中都有一座断背山。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2604889017.webp
天使爱美丽,让-皮埃尔·热内 Jean-Pierre Jeunet   ,奥黛丽·塔图 Audrey Tau...,2001,剧情 喜剧 爱情,8.7,法式小清新。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2447590313.webp
功夫,周星驰 Stephen Chow   ,周星驰 Stephen Chow / 元秋 Qiu Yuen / ...,2004,动作 喜剧 犯罪 奇幻,8.7,警恶惩奸，维护世界和平这个任务就交给你了，好吗？,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2219011938.webp
超脱,托尼·凯耶 Tony Kaye   ,艾德里安·布洛迪 Adrien Brody / 马西...,2011,剧情,8.9,穷尽一生，我们要学会的，不过是彼此拥抱。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1305562621.webp
幽灵公主,宫崎骏 Hayao Miyazaki   ,松田洋治 Yôji Matsuda / 石田百合...,1997,动画 奇幻 冒险,8.9,人与自然的战争史诗。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1613191025.webp
第六感,M·奈特·沙马兰 M. Night Shyamalan   ,布鲁斯·威利斯 Bruce Wi...,1999,剧情 悬疑 惊悚,8.9,深入内心的恐怖，出人意料的结局。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2220184425.webp
唐伯虎点秋香,李力持 Lik-Chi Lee   ,周星驰 Stephen Chow / 巩俐 Li Gong / 陈...,1993,喜剧 爱情 古装,8.7,华太师是黄霑，吴镇宇四大才子之一。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2357915564.webp
小森林 夏秋篇,森淳一 Junichi Mori   ,桥本爱 Ai Hashimoto / 三浦贵大 Takahir...,2014,剧情,9.0,那些静得只能听见呼吸的日子里，你明白孤独即生活。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2564498893.webp
重庆森林,王家卫 Kar Wai Wong   ,林青霞 Brigitte Lin / 金城武 Takeshi K...,1994,剧情 爱情,8.8,寂寞没有期限。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p792381411.webp
阳光灿烂的日子,姜文 Wen Jiang   ,夏雨 Yu Xia / 宁静 Jing Ning / 陶虹 Hong Tao,1994,剧情 爱情,8.8,一场华丽的意淫。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2564685215.webp
